start_time,speed,age,gender
01-30 17:18:42,9.32,37,1
01-30 17:16:48,11.85,42,1
01-30 17:16:53,10.86,48,1
01-30 17:14:29,13.01,33,2
01-30 17:05:45,8.34,54,1
01-30 17:10:07,13.46,27,1
01-30 17:11:13,12.47,63,2
01-30 17:05:34,21.74,43,1
01-30 17:02:25,12.88,45,1
01-30 17:02:15,11.74,52,1
01-30 16:54:58,8.88,30,2
01-30 16:58:08,12.80,43,1
01-30 16:48:58,9.36,43,2
01-30 16:54:42,14.54,31,1
01-30 16:53:00,11.09,32,1
01-30 16:55:59,13.75,37,2
01-30 16:51:58,11.41,63,1
01-30 16:44:24,10.07,36,1
01-30 16:41:55,12.23,35,1
01-30 16:43:20,18.01,26,2
01-30 16:35:41,5.28,27,1
01-30 16:32:52,13.78,35,1
01-30 16:23:56,9.28,36,2
01-30 16:26:05,17.57,37,1
01-30 16:23:31,16.72,36,1
01-30 16:17:00,15.38,24,1
01-30 11:25:05,0.47,30,2
01-30 16:16:12,18.13,43,1
01-30 16:13:44,14.01,46,1
01-30 15:58:35,7.74,34,1
01-30 16:03:18,15.11,36,1
01-30 15:50:26,13.41,23,1
01-30 15:50:21,5.41,27,1
01-30 15:51:10,18.03,43,1
01-30 15:49:18,16.77,60,1
01-30 15:46:17,12.12,43,1
01-30 15:33:56,13.24,50,1
01-30 15:34:21,11.77,55,1
01-30 15:29:11,11.60,41,1
01-30 15:28:36,12.97,50,1
01-30 15:04:39,10.00,66,1
01-30 15:10:46,9.10,27,1
01-30 15:04:01,12.54,30,2
01-30 14:53:52,9.87,31,2
01-30 14:53:04,16.52,35,1
01-30 14:44:32,14.28,24,1
01-30 14:39:42,7.85,49,2
01-30 14:25:50,6.02,64,1
01-30 14:09:16,7.04,56,2
01-30 13:59:16,11.14,54,2
01-30 14:14:43,11.98,22,2
01-30 13:50:14,10.02,65,2
01-30 14:01:46,13.74,45,1
01-30 13:52:04,13.35,24,1
01-30 13:38:59,10.17,40,1
01-30 13:37:36,6.51,41,1
01-30 13:33:20,9.96,47,1
01-30 13:23:34,13.26,37,1
01-30 13:22:09,17.93,44,1
01-30 13:02:01,6.79,59,1
01-30 13:13:07,15.39,36,1
01-30 13:02:58,16.94,34,1
01-30 12:49:51,6.26,49,2
01-30 12:42:33,8.11,36,1
01-30 12:42:51,8.68,31,1
01-30 12:32:07,9.77,53,1
01-30 12:08:18,7.36,40,2
01-30 12:21:58,17.96,30,3
01-30 12:14:32,13.25,31,2
01-30 11:57:00,8.55,53,2
01-30 11:58:32,10.37,42,2
01-30 11:54:58,11.54,38,1
01-30 11:31:13,14.86,32,1
01-30 11:38:24,8.66,59,1
01-30 11:35:44,13.79,47,1
01-30 11:24:59,14.61,44,1
01-30 11:00:32,9.52,63,1
01-30 10:55:28,15.55,32,1
01-30 10:42:43,12.97,22,1
01-30 10:36:42,9.68,37,1
01-30 10:15:12,9.67,31,1
01-30 10:18:37,15.96,32,1
01-30 10:01:04,9.91,27,2
01-30 10:07:19,15.12,44,1
01-30 10:09:46,11.58,45,1
01-30 10:05:40,9.18,61,2
01-30 10:05:41,20.56,29,1
01-30 10:01:56,11.18,56,3
01-30 09:59:06,21.35,23,1
01-30 09:49:20,11.90,26,1
01-30 09:50:33,13.05,28,1
01-30 09:40:32,12.82,55,1
01-30 09:47:32,21.98,26,1
01-30 09:42:00,14.43,31,3
01-30 09:33:41,3.06,56,1
01-30 09:35:26,11.15,30,1
01-30 09:35:07,20.42,23,1
01-30 09:33:33,11.69,34,1
01-30 09:34:13,17.78,20,2
01-30 09:29:35,6.84,30,1
01-30 09:21:29,11.44,67,1
01-30 09:15:19,8.00,30,1
01-30 09:19:59,10.45,26,2
01-30 09:11:34,11.88,37,1
01-30 09:04:19,14.30,32,1
01-30 09:00:53,14.35,37,1
01-30 09:15:01,14.63,33,1
01-30 09:09:21,9.01,27,2
01-30 09:12:41,16.96,41,2
01-30 09:10:23,17.68,37,1
01-30 08:44:03,3.78,36,1
01-30 08:56:14,18.05,23,1
01-30 09:06:46,16.67,39,1
01-30 09:00:12,8.59,31,2
01-30 08:59:23,17.96,31,1
01-30 09:04:01,10.76,37,1
01-30 08:56:33,18.75,36,1
01-30 08:59:43,13.43,21,1
01-30 09:00:13,19.47,55,1
01-30 08:53:06,20.25,32,1
01-30 08:55:12,11.29,33,1
01-30 08:56:00,17.34,34,1
01-30 08:53:46,13.47,39,1
01-30 08:45:26,7.88,27,1
01-30 08:49:18,14.76,36,1
01-30 08:46:59,14.53,45,2
01-30 08:34:26,10.36,48,1
01-30 08:41:37,6.69,27,2
01-30 08:27:33,19.09,36,1
01-30 08:24:29,11.08,50,2
01-30 08:18:03,13.76,32,2
01-30 08:41:07,17.21,41,1
01-30 08:32:27,18.08,27,1
01-30 08:38:02,20.24,36,1
01-30 08:32:14,14.54,24,2
01-30 08:35:36,13.05,34,2
01-30 08:33:54,20.88,34,1
01-30 08:25:23,9.18,55,1
01-30 08:32:30,10.39,23,1
01-30 08:31:45,17.74,34,1
01-30 08:29:52,13.52,22,1
01-30 08:19:45,10.20,28,1
01-30 08:28:59,23.73,29,1
01-30 08:09:21,5.48,45,1
01-30 08:23:57,17.36,30,1
01-30 08:22:49,15.73,53,1
01-30 08:19:06,12.53,36,1
01-30 08:01:09,17.65,37,1
01-30 08:11:00,8.80,23,2
01-30 08:12:26,14.89,31,2
01-30 08:15:07,15.48,68,2
01-30 08:07:04,12.16,36,1
01-30 08:10:25,10.76,36,1
01-30 07:56:35,12.84,46,1
01-30 08:03:45,15.18,36,1
01-30 08:08:15,13.19,34,1
01-30 08:00:56,8.67,41,1
01-30 08:00:09,15.79,34,2
01-30 07:54:44,14.80,53,1
01-30 07:59:01,23.20,30,1
01-30 07:54:22,22.90,40,1
01-30 07:50:02,14.79,23,2
01-30 07:49:15,16.40,31,2
01-30 07:34:32,13.93,34,1
01-30 07:39:48,11.60,34,1
01-30 07:30:12,17.04,32,2
01-30 07:33:12,17.31,23,1
01-30 07:24:54,13.12,33,1
01-30 07:23:51,12.66,54,1
01-30 07:22:13,15.47,41,1
01-30 07:21:09,14.09,31,1
01-30 07:09:09,6.55,36,2
01-30 07:17:22,15.62,37,1
01-30 07:01:33,18.57,35,2
01-30 06:52:59,10.29,60,2
01-30 06:45:45,9.22,57,1
01-30 06:48:57,23.63,36,1
01-30 06:48:57,18.15,32,1
01-30 06:37:54,20.84,35,1
01-30 06:14:51,15.00,62,1
01-30 06:10:16,16.71,25,1
01-30 05:44:07,17.02,44,1
01-30 04:49:10,7.85,38,1
01-30 00:46:04,14.58,29,1
01-29 23:37:53,14.73,33,1
01-29 22:36:11,11.27,25,1
01-29 22:07:47,7.25,57,1
01-29 22:00:25,8.86,27,2
01-29 21:48:13,14.38,44,1
01-29 21:30:51,12.82,25,2
01-29 21:35:13,16.59,29,1
01-29 21:16:51,10.51,33,2
01-29 21:11:15,10.38,22,2
01-29 21:12:40,22.71,26,1
01-29 20:54:57,9.83,35,1
01-29 20:43:22,6.39,23,2
01-29 20:45:08,3.24,27,2
01-29 20:27:48,13.72,29,1
01-29 20:07:37,13.12,28,2
01-29 20:13:36,16.63,42,1
01-29 20:01:36,15.62,25,1
01-29 19:56:16,10.93,24,1
01-29 19:56:44,15.42,27,1
01-29 19:51:37,6.36,41,1
01-29 19:41:23,13.23,41,1
01-29 19:32:13,12.91,40,2
01-29 19:44:10,17.09,29,1
01-29 19:29:32,8.90,30,1
01-29 19:25:33,15.66,37,1
01-29 19:31:21,13.10,35,1
01-29 19:29:43,22.98,38,1
01-29 19:13:07,7.85,35,2
01-29 19:18:23,12.46,44,2
01-29 19:14:41,17.68,29,1
01-29 19:09:47,19.78,28,1
01-29 19:07:46,14.82,30,1
